Date Signed,Mitigation Finance ($ million),Adaptation Finance ($ million)
2023-01-01,86.02,15.155
2023-02-01,448.897400473,135.21
2023-03-01,318.74380216,55.33322692
2023-04-01,85.902,142.183
2023-05-01,7.6733688,75.2825
2023-06-01,626.0600000000001,215.624
2023-07-01,156.28551000000002,260.44997
2023-08-01,113.64309012,347.76
2023-09-01,21.725,321.825
2023-10-01,202.21514269000002,400.31546
2023-11-01,410.46608000000003,431.568
2023-12-01,2677.5975553,2177.352022
